Año,Trimestre,Provincia,Accesos por cada 100 hogares,Mbps (Media de bajada),Banda ancha fija,Dial up,Total
2022,1,Buenos Aires,"76,08",63,4.549.131,6.293,4.555.424
2022,1,Capital Federal,"111,8",88,1.415.378,2.163,1.417.541
2022,1,Catamarca,"58,21",51,62.377,1,62.378
2022,1,Chaco,"44,06",46,144.114,5,144.119
2022,1,Chubut,"88,05",13,170.701,927,171.628
2022,1,Córdoba,"85,76",50,1.003.729,74,1.003.803
2022,1,Corrientes,"47,64",38,142.574,4,142.578
2022,1,Entre Ríos,"63,7",36,267.904,22,267.926
2022,1,Formosa,"34,96",30,54.548,0,54.548
2022,1,Jujuy,"58,06",28,116.509,0,116.509
2022,1,La Pampa,"91,66",15,109.560,172,109.732
2022,1,La Rioja,"78,77",41,84.299,4,84.303
2022,1,Mendoza,"48,74",26,274.399,786,275.185
2022,1,Misiones,"49,04",42,171.508,0,171.508
2022,1,Neuquén,"74,17",43,149.208,471,149.679
2022,1,Río Negro,"67,04",31,156.821,553,157.374
2022,1,Salta,"56,11",37,197.510,5,197.515
2022,1,San Juan,"43,55",12,87.888,290,88.178
2022,1,San Luis,"80,72",21,119.659,185,119.844
2022,1,Santa Cruz,"43,34",11,48.898,204,49.102
2022,1,Santa Fe,"77,3",39,870.364,115,870.479
2022,1,Santiago Del Estero,"47,17",14,116.459,2,116.461
2022,1,Tierra Del Fuego,"98,29",11,52.298,313,52.611
2022,1,Tucumán,"57,39",47,245.554,30,245.584
2021,4,Buenos Aires,"75,66",60,4.502.772,6.385,4.509.157
2021,4,Capital Federal,"111,27",83,1.409.935,2.184,1.412.119
2021,4,Catamarca,"55,25",46,59.089,1,59.090
2021,4,Chaco,"44,05",42,143.740,5,143.745
2021,4,Chubut,"82,57",9,159.364,944,160.308
2021,4,Córdoba,"84,51",46,986.693,77,986.770
2021,4,Corrientes,"45,51",36,135.908,4,135.912
2021,4,Entre Ríos,"63,16",33,265.024,22,265.046
2021,4,Formosa,"34,45",29,53.663,- 0,53.663
2021,4,Jujuy,"56,92",27,113.915,- 0,113.915
2021,4,La Pampa,"89,57",14,106.834,173,107.007
2021,4,La Rioja,"77,92",40,83.124,4,83.128
2021,4,Mendoza,"47,51",22,266.783,804,267.587
2021,4,Misiones,"49,06",39,171.132,- 0,171.132
2021,4,Neuquén,"73,3",40,146.989,477,147.466
2021,4,Río Negro,"65,69",27,153.189,564,153.753
2021,4,Salta,"56,81",34,199.399,6,199.405
2021,4,San Juan,"39,59",11,79.667,291,79.958
2021,4,San Luis,"80,3",21,118.662,187,118.849
2021,4,Santa Cruz,"43,05",9,48.276,210,48.486
2021,4,Santa Fe,"77,09",36,866.265,176,866.441
2021,4,Santiago Del Estero,"47,05",14,115.859,2,115.861
2021,4,Tierra Del Fuego,"98,4",11,52.042,315,52.357
2021,4,Tucumán,"55,93",45,238.609,30,238.639
2021,3,Buenos Aires,"71,68",56,4.246.425,5.184,4.251.609
2021,3,Capital Federal,"111,27",78,1.411.797,1.608,1.413.405
2021,3,Catamarca,"52,71",43,56.253,1,56.254
2021,3,Chaco,"42,96",39,139.868,3,139.871
2021,3,Chubut,"80,71",8,155.266,800,156.066
2021,3,Córdoba,"81,28",42,946.726,62,946.788
2021,3,Corrientes,"44,9",32,133.816,3,133.819
2021,3,Entre Ríos,"62,18",30,260.360,15,260.375
2021,3,Formosa,"33,96",27,52.795,- 0,52.795
2021,3,Jujuy,"55,69",26,111.158,- 0,111.158
2021,3,La Pampa,"84,28",13,100.371,116,100.487
2021,3,La Rioja,"77,26",39,82.157,3,82.160
2021,3,Mendoza,"45,55",13,255.320,619,255.939
2021,3,Misiones,"45,57",31,158.528,- 0,158.528
2021,3,Neuquén,"69,71",38,139.436,373,139.809
2021,3,Río Negro,"61,97",25,144.084,501,144.585
2021,3,Salta,"55,96",31,195.831,2,195.833
2021,3,San Juan,"39,46",7,79.227,256,79.483
2021,3,San Luis,"79,87",22,117.716,148,117.864
2021,3,Santa Cruz,"43,75",8,48.779,197,48.976
2021,3,Santa Fe,"75,02",33,841.433,151,841.584
2021,3,Santiago Del Estero,47,13,115.457,1,115.458
2021,3,Tierra Del Fuego,"94,95",10,49.934,289,50.223
2021,3,Tucumán,"54,64",42,232.447,25,232.472
2021,2,Buenos Aires,70,53,4.127.167,5.184,4.132.351
2021,2,Capital Federal,"110,14",73,1.398.747,1.608,1.400.355
2021,2,Catamarca,"52,34",42,55.743,1,55.744
2021,2,Chaco,"43,33",37,140.726,3,140.729
2021,2,Chubut,"72,29",8,138.412,825,139.237
2021,2,Córdoba,"80,12",40,930.818,62,930.880
2021,2,Corrientes,"43,54",30,129.498,3,129.501
2021,2,Entre Ríos,"61,66",28,257.617,15,257.632
2021,2,Formosa,"33,23",24,51.551,- 0,51.551
2021,2,Jujuy,"56,18",26,111.848,- 0,111.848
2021,2,La Pampa,"82,08",12,97.551,116,97.667
2021,2,La Rioja,"76,98",39,81.599,3,81.602
2021,2,Mendoza,"40,97",13,229.052,619,229.671
2021,2,Misiones,"45,01",29,156.176,- 0,156.176
2021,2,Neuquén,"69,14",36,137.877,373,138.250
2021,2,Río Negro,"61,94",24,143.583,501,144.084
2021,2,Salta,"54,93",29,191.637,2,191.639
2021,2,San Juan,"39,28",7,78.677,256,78.933
